,Year,ISO_Code,Countries,"Economic Freedom Summary Index",Rank,Quartile,"Size of Government","Legal System & Property Rights -- With Gender Adjustment","Sound Money","Freedom to trade internationally",Regulation
,1995,KAZ,Kazakhstan,,,,8.26,5.55,,,5.67
,1995,KEN,Kenya,5.96,72,3,6.00,5.30,6.50,6.38,5.60
,1995,KGZ,"Kyrgyz Republic",,,,,3.59,,,3.25
,1995,KHM,Cambodia,,,,3.81,2.99,,,3.78
,1995,KOR,"Korea, Rep.",7.25,31,1,7.48,6.63,8.02,7.04,7.10
,1995,KWT,Kuwait,6.49,54,2,3.91,5.18,9.03,8.47,5.88
,1995,LAO,"Lao PDR",,,,,4.51,,,
,1995,LBN,Lebanon,,,,7.74,5.51,,,1.42
,1995,LBR,Liberia,,,,,2.86,,,
,1995,LBY,Libya,,,,,4.97,,,
,1995,LKA,"Sri Lanka",6.24,62,2,7.81,5.51,6.26,5.15,6.48
,1995,LSO,Lesotho,,,,3.67,4.39,,,5.71
,1995,LTU,Lithuania,5.87,77,3,6.55,6.17,2.46,8.78,5.36
,1995,LUX,Luxembourg,8.04,8,1,5.39,7.90,9.73,9.58,7.60
,1995,LVA,Latvia,6.20,64,3,6.42,6.20,3.93,9.02,5.42
,1995,MAR,Morocco,5.65,82,3,6.48,4.48,6.63,5.33,5.31
,1995,MDA,Moldova,,,,5.88,5.41,,,4.65
,1995,MDG,Madagascar,4.35,110,4,6.08,3.96,2.71,5.45,3.53
,1995,MEX,Mexico,6.72,45,2,7.86,6.01,4.96,8.57,6.18
,1995,MKD,"North Macedonia",,,,,6.32,,,6.95
,1995,MLI,Mali,5.72,81,3,8.26,3.94,5.26,6.72,4.45
,1995,MLT,Malta,7.31,27,1,6.96,8.46,7.07,6.84,7.24
,1995,MMR,Myanmar,2.86,123,4,,4.00,4.74,0.28,2.45
,1995,MNE,Montenegro,,,,,5.95,,,
,1995,MNG,Mongolia,,,,4.96,6.60,,,7.55
,1995,MOZ,Mozambique,,,,3.71,3.66,,,5.28
,1995,MRT,Mauritania,,,,4.55,2.42,,,
,1995,MUS,Mauritius,7.44,24,1,7.05,5.89,9.26,6.14,8.84
,1995,MWI,Malawi,4.27,113,4,5.03,5.13,1.23,5.41,4.53
,1995,MYS,Malaysia,7.00,38,2,6.56,5.08,8.83,7.47,7.08
,1995,NAM,Namibia,5.90,75,3,5.58,5.63,5.74,5.29,7.24
,1995,NER,Niger,4.72,105,4,4.58,2.86,5.85,4.75,5.56
,1995,NGA,Nigeria,3.83,118,4,6.99,4.09,1.34,1.84,4.91
,1995,NIC,Nicaragua,6.14,65,3,7.24,4.34,4.34,7.93,6.84
,1995,NLD,Netherlands,7.99,11,1,4.74,8.79,9.70,9.55,7.18
,1995,NOR,Norway,7.88,14,1,5.17,8.94,9.65,8.06,7.57
,1995,NPL,Nepal,5.64,83,3,6.71,4.72,6.17,4.49,6.10
,1995,NZL,"New Zealand",8.49,4,1,7.25,8.41,9.65,7.85,9.32
,1995,OMN,Oman,6.51,53,2,5.10,4.93,9.20,6.72,6.61
,1995,PAK,Pakistan,5.15,99,4,5.58,3.96,7.33,4.45,4.41
,1995,PAN,Panama,7.73,17,1,7.82,5.23,9.22,9.11,7.26
,1995,PER,Peru,6.02,70,3,8.30,4.37,4.84,7.01,5.61
,1995,PHL,Philippines,7.02,37,2,8.34,4.46,8.53,6.49,7.29
,1995,PNG,"Papua New Guinea",5.86,78,3,6.79,5.66,5.70,5.03,6.10
,1995,POL,Poland,5.93,73,3,3.60,6.66,6.76,7.13,5.50
,1995,PRT,Portugal,7.30,29,1,6.14,7.45,9.34,7.84,5.72
,1995,PRY,Paraguay,7.14,34,2,9.05,5.52,8.25,6.80,6.07
,1995,QAT,Qatar,,,,,5.45,,,5.29
,1995,ROU,Romania,4.46,109,4,5.60,6.21,0.74,5.54,4.20
,1995,RUS,"Russian Federation",4.57,107,4,6.64,3.74,1.67,6.20,4.61
,1995,RWA,Rwanda,4.10,115,4,6.39,2.59,3.38,3.73,4.42
,1995,SAU,"Saudi Arabia",,,,6.82,4.26,,,5.70
,1995,SDN,Sudan,,,,7.04,1.80,,,6.02
,1995,SEN,Senegal,5.28,91,3,5.74,4.24,5.90,5.41,5.12
,1995,SGP,Singapore,8.54,3,1,7.66,8.13,9.69,8.89,8.32
,1995,SLE,"Sierra Leone",3.98,116,4,6.01,2.93,3.74,4.97,2.23
,1995,SLV,"El Salvador",7.23,32,1,8.57,5.33,8.56,6.88,6.79
,1995,SOM,Somalia,,,,,,,,
,1995,SRB,Serbia,,,,,4.25,,,5.13
,1995,SUR,Suriname,,,,,6.51,,,
,1995,SVK,"Slovak Republic",6.03,68,3,5.51,5.86,6.48,6.93,5.39
,1995,SVN,Slovenia,6.03,68,3,5.42,6.58,4.16,7.51,6.45
,1995,SWE,Sweden,7.61,18,1,3.68,8.58,9.54,9.06,7.16
,1995,SWZ,Eswatini,,,,5.10,3.19,,,6.32
,1995,SYC,Seychelles,,,,1.37,4.51,,,6.70
,1995,SYR,"Syrian Arab Republic",3.81,119,4,3.76,3.54,6.46,2.36,2.95
,1995,TCD,Chad,5.35,89,3,9.04,2.89,5.12,6.98,2.73
,1995,TGO,Togo,5.14,100,4,6.91,3.04,5.38,,5.22
,1995,THA,Thailand,7.31,27,1,7.82,5.43,9.43,6.86,7.00
,1995,TJK,Tajikistan,,,,5.70,3.45,,,4.93
,1995,TLS,Timor-Leste,,,,,2.47,,,
,1995,TTO,"Trinidad and Tobago",7.19,33,2,6.50,6.50,8.64,7.46,6.87
,1995,TUN,Tunisia,5.61,84,3,4.95,5.13,7.04,5.69,5.22
,1995,TUR,Türkiye,5.80,80,3,7.35,5.44,3.21,6.58,6.44
,1995,TWN,Taiwan,7.11,35,2,6.47,5.45,9.69,7.54,6.37
,1995,TZA,Tanzania,6.01,71,3,7.48,6.21,5.20,5.57,5.57
,1995,UGA,Uganda,5.41,87,3,7.45,4.04,4.31,5.13,6.09
,1995,UKR,Ukraine,3.38,121,4,5.35,5.11,0.00,,3.04
,1995,URY,Uruguay,6.71,46,2,7.46,6.82,4.22,7.61,7.45
,1995,USA,"United States",8.75,2,1,7.37,8.38,9.79,9.14,9.06
,1995,VEN,"Venezuela, RB",4.92,102,4,7.82,5.02,2.17,4.88,4.70
,1995,VNM,Vietnam,,,,7.28,4.35,,,5.56
,1995,YEM,"Yemen, Rep.",,,,7.82,3.77,,,4.99
,1995,ZAF,"South Africa",6.82,42,2,6.81,6.87,6.53,6.21,7.68
,1995,ZMB,Zambia,5.18,96,4,7.64,5.44,0.65,5.75,6.41
,1995,ZWE,Zimbabwe,6.32,61,2,6.60,6.11,6.15,6.19,6.53
