,Year,ISO_Code,Countries,"Economic Freedom Summary Index",Rank,Quartile,"Size of Government","Legal System & Property Rights -- With Gender Adjustment","Sound Money","Freedom to trade internationally",Regulation
,2023,AGO,Angola,5.16,146,4,7.83,3.48,4.38,4.97,5.14
,2023,ALB,Albania,7.56,35,1,7.64,5.55,8.95,8.54,7.11
,2023,ARE,"United Arab Emirates",7.25,52,2,5.73,6.89,8.48,8.57,6.57
,2023,ARG,Argentina,4.48,159,4,6.18,5.54,1.25,3.62,5.79
,2023,ARM,Armenia,7.46,39,1,8.03,5.69,9.06,8.13,6.39
,2023,AUS,Australia,8.03,7,1,6.21,8.68,8.87,8.15,8.22
,2023,AUT,Austria,7.57,33,1,5.29,8.50,8.44,8.69,6.92
,2023,AZE,Azerbaijan,5.80,130,4,4.67,4.64,6.48,7.21,5.98
,2023,BDI,Burundi,5.01,152,4,6.48,3.41,5.74,3.61,5.79
,2023,BEL,Belgium,7.58,31,1,4.57,7.94,9.27,8.86,7.25
,2023,BEN,Benin,6.33,98,3,8.04,4.32,6.74,6.07,6.47
,2023,BFA,"Burkina Faso",6.27,102,3,7.02,4.27,6.88,6.63,6.56
,2023,BGD,Bangladesh,5.83,127,4,8.37,3.45,6.24,5.64,5.43
,2023,BGR,Bulgaria,7.13,56,2,6.74,5.56,8.19,8.41,6.74
,2023,BHR,Bahrain,7.41,43,2,7.29,4.70,9.10,8.35,7.59
,2023,BHS,"Bahamas, The",6.90,71,2,8.81,6.25,6.31,5.65,7.45
,2023,BIH,"Bosnia and Herzegovina",6.40,93,3,6.71,4.55,6.18,7.72,6.85
,2023,BLR,Belarus,5.92,122,3,6.13,3.59,8.77,6.46,4.67
,2023,BLZ,Belize,5.99,119,3,6.24,3.98,6.29,6.57,6.89
,2023,BOL,Bolivia,6.05,116,3,5.94,4.13,9.29,6.46,4.42
,2023,BRA,Brazil,6.57,87,3,6.54,5.07,8.60,7.49,5.14
,2023,BRB,Barbados,6.76,78,2,7.33,6.13,7.42,6.74,6.20
,2023,BRN,"Brunei Darussalam",7.09,58,2,6.67,5.80,8.21,7.56,7.20
,2023,BTN,Bhutan,6.84,73,2,6.87,6.81,6.52,6.91,7.07
,2023,BWA,Botswana,6.92,69,2,6.43,6.04,8.73,7.36,6.06
,2023,CAF,"Central African Republic",4.96,154,4,6.64,2.20,6.43,5.13,4.41
,2023,CAN,Canada,7.92,11,1,6.39,7.91,8.85,8.53,7.93
,2023,CHE,Switzerland,8.28,4,1,7.69,8.31,9.58,8.14,7.69
,2023,CHL,Chile,7.65,26,1,7.45,6.77,8.58,8.56,6.90
,2023,CHN,China,6.13,108,3,4.70,4.94,8.34,7.08,5.57
,2023,CIV,"Côte d'Ivoire",6.08,113,3,6.59,5.27,6.69,5.88,5.97
,2023,CMR,Cameroon,5.64,133,4,7.55,3.26,6.13,5.47,5.81
,2023,COD,"Congo, Dem. Rep.",5.03,151,4,7.44,2.62,5.16,5.27,4.66
,2023,COG,"Congo, Rep.",4.85,155,4,5.92,3.44,4.87,5.67,4.37
,2023,COL,Colombia,6.38,94,3,6.94,4.78,6.74,6.80,6.65
,2023,COM,Comoros,5.51,136,4,6.38,2.92,5.87,6.47,5.93
,2023,CPV,"Cabo Verde",7.39,44,2,7.48,6.19,9.20,7.61,6.49
,2023,CRI,"Costa Rica",7.85,14,1,7.46,6.76,9.53,8.50,6.98
,2023,CYP,Cyprus,7.75,20,1,6.76,6.93,9.26,8.92,6.87
,2023,CZE,Czechia,7.61,29,1,6.03,7.68,8.36,8.87,7.09
,2023,DEU,Germany,7.84,15,1,5.81,8.24,9.01,8.74,7.40
,2023,DJI,Djibouti,6.10,110,3,5.15,3.70,9.23,5.76,6.66
,2023,DNK,Denmark,8.02,9,1,5.41,8.88,9.05,8.95,7.82
,2023,DOM,"Dominican Republic",7.37,47,2,8.34,5.40,8.75,8.14,6.24
,2023,DZA,Algeria,4.24,162,4,4.30,3.79,6.38,2.59,4.12
,2023,ECU,Ecuador,6.32,100,3,6.62,4.51,7.87,6.84,5.76
,2023,EGY,"Egypt, Arab Rep.",5.08,149,4,5.32,3.49,5.96,6.12,4.50
,2023,ESP,Spain,7.73,21,1,6.08,7.41,9.24,8.68,7.26
,2023,EST,Estonia,7.76,19,1,6.29,7.68,8.05,8.97,7.82
,2023,ETH,Ethiopia,5.01,152,4,6.77,4.33,4.47,4.32,5.14
,2023,FIN,Finland,7.84,15,1,4.92,8.86,9.14,8.69,7.60
,2023,FJI,Fiji,6.08,113,3,5.58,4.82,6.85,6.22,6.93
,2023,FRA,France,7.39,44,2,4.77,7.31,9.01,8.96,6.91
,2023,GAB,Gabon,5.24,143,4,6.48,3.87,5.65,5.57,4.65
,2023,GBR,"United Kingdom",7.88,13,1,6.10,8.06,8.83,8.74,7.68
,2023,GEO,Georgia,7.69,25,1,7.35,5.82,8.90,8.77,7.62
,2023,GHA,Ghana,5.81,128,4,8.13,5.31,2.70,6.66,6.27
,2023,GIN,Guinea,5.87,125,4,7.44,3.36,7.07,5.93,5.53
,2023,GMB,"Gambia, The",6.93,68,2,7.89,5.41,7.23,7.28,6.80
,2023,GNB,Guinea-Bissau,5.32,142,4,6.45,2.76,6.14,6.32,4.90
,2023,GRC,Greece,7.15,55,2,4.88,6.46,9.02,8.51,6.89
,2023,GTM,Guatemala,7.62,28,1,9.18,4.61,8.87,8.34,7.07
,2023,GUY,Guyana,5.47,138,4,3.87,4.27,6.52,6.23,6.48
,2023,HKG,"Hong Kong SAR, China",8.55,1,1,7.49,7.60,9.53,9.66,8.49
