,Year,ISO_Code,Countries,"Economic Freedom Summary Index",Rank,Quartile,"Size of Government","Legal System & Property Rights -- With Gender Adjustment","Sound Money","Freedom to trade internationally",Regulation
,2023,HND,Honduras,6.99,64,2,8.84,4.00,8.60,7.06,6.45
,2023,HRV,Croatia,6.94,67,2,5.56,6.18,8.31,8.47,6.16
,2023,HTI,Haiti,6.01,118,3,8.78,2.56,4.93,7.77,6.02
,2023,HUN,Hungary,7.07,61,2,6.05,6.62,7.36,8.72,6.61
,2023,IDN,Indonesia,6.96,65,2,8.40,4.71,8.99,7.04,5.65
,2023,IND,India,6.58,86,3,7.68,5.43,7.59,6.21,5.99
,2023,IRL,Ireland,8.05,6,1,6.42,7.93,8.87,9.00,8.06
,2023,IRN,"Iran, Islamic Rep.",4.37,161,4,6.97,3.20,5.20,2.48,4.02
,2023,IRQ,Iraq,5.37,141,4,4.79,2.49,6.65,7.13,5.80
,2023,ISL,Iceland,7.71,23,1,5.95,8.54,8.65,8.43,7.00
,2023,ISR,Israel,7.46,39,1,5.93,6.32,9.03,8.81,7.21
,2023,ITA,Italy,7.38,46,2,5.49,6.78,9.04,8.99,6.58
,2023,JAM,Jamaica,7.46,39,1,8.12,5.81,8.40,7.28,7.72
,2023,JOR,Jordan,7.46,39,1,7.38,4.93,9.55,8.18,7.25
,2023,JPN,Japan,7.83,17,1,5.83,7.78,9.39,8.56,7.59
,2023,KAZ,Kazakhstan,6.84,73,2,7.83,5.67,7.42,7.03,6.24
,2023,KEN,Kenya,6.68,81,2,6.54,5.10,8.88,6.41,6.48
,2023,KGZ,"Kyrgyz Republic",6.56,88,3,7.42,4.34,7.37,7.50,6.19
,2023,KHM,Cambodia,6.79,77,2,8.87,3.27,9.15,7.40,5.28
,2023,KOR,"Korea, Rep.",7.53,38,1,6.18,7.15,9.24,8.00,7.07
,2023,KWT,Kuwait,6.49,91,3,5.80,5.34,7.76,7.35,6.20
,2023,LAO,"Lao PDR",5.65,132,4,7.33,4.45,4.11,6.60,5.76
,2023,LBN,Lebanon,5.24,143,4,8.67,3.54,4.39,3.63,5.98
,2023,LBR,Liberia,6.12,109,3,7.10,3.83,8.46,5.82,5.37
,2023,LBY,Libya,4.80,157,4,3.60,3.36,7.06,5.70,4.27
,2023,LKA,"Sri Lanka",5.81,128,4,7.45,5.19,3.29,6.84,6.27
,2023,LSO,Lesotho,5.96,121,3,5.51,4.43,7.54,6.58,5.74
,2023,LTU,Lithuania,7.57,33,1,6.91,7.10,7.92,8.77,7.16
,2023,LUX,Luxembourg,7.92,11,1,5.05,8.58,9.38,8.99,7.62
,2023,LVA,Latvia,7.60,30,1,6.34,7.11,8.32,8.79,7.43
,2023,MAR,Morocco,6.38,94,3,6.88,5.36,6.35,7.09,6.24
,2023,MDA,Moldova,6.59,85,3,7.59,5.79,6.30,7.63,5.64
,2023,MDG,Madagascar,6.02,117,3,6.89,3.20,7.23,7.02,5.75
,2023,MEX,Mexico,6.91,70,2,8.09,4.63,7.66,8.11,6.09
,2023,MKD,"North Macedonia",6.76,78,2,6.85,4.76,7.18,7.72,7.29
,2023,MLI,Mali,5.80,130,4,6.99,3.38,6.74,6.38,5.50
,2023,MLT,Malta,7.82,18,1,6.51,7.18,9.06,9.03,7.31
,2023,MMR,Myanmar,4.46,160,4,6.84,2.81,3.89,4.26,4.52
,2023,MNE,Montenegro,7.16,53,2,6.65,5.67,8.28,8.29,6.88
,2023,MNG,Mongolia,6.83,75,2,6.75,5.77,7.78,7.28,6.57
,2023,MOZ,Mozambique,6.21,105,3,7.12,4.52,7.51,6.57,5.32
,2023,MRT,Mauritania,6.09,111,3,6.39,3.45,7.75,6.79,6.08
,2023,MUS,Mauritius,7.73,21,1,7.40,6.67,8.61,8.76,7.24
,2023,MWI,Malawi,5.14,147,4,6.22,4.82,4.42,4.18,6.07
,2023,MYS,Malaysia,7.56,35,1,7.22,5.71,9.33,7.89,7.66
,2023,NAM,Namibia,6.38,94,3,7.34,6.16,6.37,6.51,5.52
,2023,NER,Niger,5.87,125,4,7.81,3.19,6.72,5.75,5.90
,2023,NGA,Nigeria,5.89,123,3,8.87,4.00,6.66,3.52,6.39
,2023,NIC,Nicaragua,6.43,92,3,6.54,3.43,8.43,7.90,5.86
,2023,NLD,Netherlands,7.97,10,1,5.25,8.93,9.23,9.16,7.25
,2023,NOR,Norway,7.35,48,2,4.99,8.86,7.58,8.33,7.00
,2023,NPL,Nepal,6.54,90,3,7.16,4.98,7.37,6.05,7.14
,2023,NZL,"New Zealand",8.33,3,1,6.36,8.73,8.99,8.94,8.65
,2023,OMN,Oman,6.61,83,3,4.85,5.57,8.29,7.46,6.87
,2023,PAK,Pakistan,5.62,134,4,8.27,4.03,3.83,5.97,6.01
,2023,PAN,Panama,7.64,27,1,7.55,5.74,9.21,8.87,6.83
,2023,PER,Peru,7.30,51,2,7.63,5.12,8.53,8.48,6.73
,2023,PHL,Philippines,7.05,62,2,7.88,4.57,9.01,7.15,6.65
,2023,PNG,"Papua New Guinea",6.09,111,3,5.65,4.73,6.37,7.26,6.46
,2023,POL,Poland,6.80,76,2,5.58,6.47,6.93,8.48,6.54
,2023,PRT,Portugal,7.71,23,1,6.02,7.81,9.07,8.93,6.74
,2023,PRY,Paraguay,7.08,60,2,7.97,4.51,8.90,7.41,6.59
,2023,QAT,Qatar,6.71,80,2,5.67,5.47,7.61,8.39,6.41
,2023,ROU,Romania,7.32,50,2,6.72,6.85,8.18,8.44,6.43
,2023,RUS,"Russian Federation",5.09,148,4,5.78,4.68,5.44,5.13,4.44
,2023,RWA,Rwanda,6.37,97,3,4.98,5.99,6.77,7.56,6.54
,2023,SAU,"Saudi Arabia",6.95,66,2,6.55,5.86,8.58,7.13,6.66
,2023,SDN,Sudan,4.00,163,4,7.72,1.66,1.25,5.24,4.14
,2023,SEN,Senegal,6.15,107,3,7.10,4.60,6.22,6.85,5.98
,2023,SGP,Singapore,8.50,2,1,7.54,8.58,8.59,9.56,8.20
,2023,SLE,"Sierra Leone",5.60,135,4,7.15,4.97,3.83,6.63,5.42
,2023,SLV,"El Salvador",7.09,58,2,7.77,4.43,9.03,7.97,6.25
,2023,SOM,Somalia,6.28,101,3,9.53,2.15,9.00,6.38,4.33
,2023,SRB,Serbia,6.56,88,3,6.36,5.40,6.54,8.06,6.44
,2023,SUR,Suriname,5.50,137,4,6.53,4.86,3.61,6.63,5.90
,2023,SVK,"Slovak Republic",7.33,49,2,6.25,6.62,8.40,8.60,6.80
,2023,SVN,Slovenia,7.00,63,2,4.88,6.76,8.61,8.47,6.31
,2023,SWE,Sweden,7.56,35,1,4.62,8.41,8.69,8.73,7.35
,2023,SWZ,Eswatini,5.39,140,4,5.19,3.02,7.76,5.64,5.35
,2023,SYC,Seychelles,7.58,31,1,7.40,5.99,9.42,8.30,6.80
,2023,SYR,"Syrian Arab Republic",4.62,158,4,7.04,2.74,4.70,5.03,3.58
,2023,TCD,Chad,4.84,156,4,7.55,2.73,4.56,5.23,4.11
,2023,TGO,Togo,6.07,115,3,6.94,4.56,6.58,6.26,6.01
,2023,THA,Thailand,7.10,57,2,6.98,5.12,9.50,7.08,6.83
,2023,TJK,Tajikistan,6.33,98,3,5.78,3.76,8.80,7.20,6.09
,2023,TLS,Timor-Leste,5.97,120,3,4.35,4.55,6.23,7.84,6.86
,2023,TTO,"Trinidad and Tobago",6.65,82,2,6.62,5.32,7.95,6.85,6.53
,2023,TUN,Tunisia,5.88,124,3,5.41,4.62,7.14,6.59,5.61
,2023,TUR,Türkiye,5.44,139,4,6.79,4.72,2.79,7.18,5.72
,2023,TWN,Taiwan,8.03,7,1,7.76,7.53,9.49,8.16,7.23
,2023,TZA,Tanzania,6.27,102,3,5.87,5.22,7.92,5.76,6.60
,2023,UGA,Uganda,6.87,72,2,6.94,4.96,8.97,7.03,6.48
,2023,UKR,Ukraine,5.24,143,4,5.80,4.57,5.26,5.99,4.58
,2023,URY,Uruguay,7.16,53,2,6.45,6.32,8.55,7.99,6.51
,2023,USA,"United States",8.10,5,1,7.25,7.59,9.02,8.11,8.51
,2023,VEN,"Venezuela, RB",3.11,165,4,4.62,2.48,0.74,5.03,2.67
,2023,VNM,Vietnam,6.21,105,3,6.52,5.30,6.81,6.57,5.85
,2023,YEM,"Yemen, Rep.",5.08,149,4,8.30,2.17,7.47,4.61,2.85
,2023,ZAF,"South Africa",6.61,83,3,6.05,5.88,7.68,6.97,6.47
,2023,ZMB,Zambia,6.24,104,3,6.52,5.27,7.19,6.67,5.53
,2023,ZWE,Zimbabwe,3.91,164,4,5.53,3.61,1.25,3.98,5.19
