,Year,ISO_Code,Countries,"Economic Freedom Summary Index",Rank,Quartile,"Size of Government","Legal System & Property Rights -- With Gender Adjustment","Sound Money","Freedom to trade internationally",Regulation
,1990,AGO,Angola,,,,,3.99,,,
,1990,ALB,Albania,4.95,86,3,4.87,6.36,6.54,,2.02
,1990,ARE,"United Arab Emirates",7.02,25,1,6.36,3.74,9.49,9.17,6.35
,1990,ARG,Argentina,4.73,91,4,7.16,4.13,2.50,4.67,5.20
,1990,ARM,Armenia,,,,,4.23,,,
,1990,AUS,Australia,8.42,6,1,6.60,8.86,9.02,8.49,9.13
,1990,AUT,Austria,7.67,17,1,5.18,8.35,9.63,7.97,7.22
,1990,AZE,Azerbaijan,,,,,3.62,,,2.15
,1990,BDI,Burundi,5.02,84,3,7.78,3.74,6.22,3.64,3.75
,1990,BEL,Belgium,8.02,13,1,5.75,7.64,9.74,9.49,7.49
,1990,BEN,Benin,5.64,61,3,7.03,3.13,6.65,,5.74
,1990,BFA,"Burkina Faso",,,,3.17,3.86,,,5.91
,1990,BGD,Bangladesh,4.28,101,4,6.71,3.03,6.63,0.21,4.81
,1990,BGR,Bulgaria,4.68,92,4,5.50,6.80,3.47,2.81,4.83
,1990,BHR,Bahrain,6.39,38,2,4.81,2.99,8.83,8.42,6.89
,1990,BHS,"Bahamas, The",6.54,34,2,9.19,5.99,6.90,4.08,
,1990,BIH,"Bosnia and Herzegovina",,,,,3.66,,,
,1990,BLR,Belarus,,,,5.59,5.46,,,7.78
,1990,BLZ,Belize,,,,5.84,,6.89,4.13,
,1990,BOL,Bolivia,5.71,56,2,6.80,3.92,4.90,6.91,6.03
,1990,BRA,Brazil,4.16,104,4,6.50,5.52,0.00,4.28,4.53
,1990,BRB,Barbados,6.25,40,2,6.15,5.84,6.52,4.96,7.77
,1990,BRN,"Brunei Darussalam",,,,,6.09,,,
,1990,BTN,Bhutan,,,,3.62,6.58,,,
,1990,BWA,Botswana,5.93,46,2,5.06,5.24,5.77,6.55,7.02
,1990,CAF,"Central African Republic",4.83,89,4,4.71,3.02,7.09,4.33,5.01
,1990,CAN,Canada,8.33,8,1,5.86,8.96,9.46,8.98,8.39
,1990,CHE,Switzerland,8.80,2,1,7.51,9.23,9.60,9.76,7.92
,1990,CHL,Chile,6.89,28,1,7.27,5.84,7.55,6.39,7.38
,1990,CHN,China,4.11,105,4,3.77,4.19,6.45,1.89,4.28
,1990,CIV,"Côte d'Ivoire",5.43,69,3,4.87,4.63,6.96,4.37,6.33
,1990,CMR,Cameroon,5.37,72,3,5.99,3.33,7.02,5.48,5.04
,1990,COD,"Congo, Dem. Rep.",2.92,116,4,5.88,1.68,0.00,4.24,2.77
,1990,COG,"Congo, Rep.",4.61,94,4,5.76,2.71,5.95,4.85,3.78
,1990,COL,Colombia,5.29,73,3,7.41,4.54,4.46,4.32,5.70
,1990,COM,Comoros,,,,2.66,,,,
,1990,CPV,"Cabo Verde",,,,5.97,7.09,,,
,1990,CRI,"Costa Rica",7.47,19,1,7.69,7.22,7.91,6.04,8.47
,1990,CYP,Cyprus,6.08,43,2,5.06,6.40,7.03,5.10,6.80
,1990,CZE,Czechia,,,,2.16,7.04,,,5.10
,1990,DEU,Germany,8.34,7,1,6.24,8.88,9.67,9.48,7.43
,1990,DJI,Djibouti,,,,2.61,,,,
,1990,DNK,Denmark,7.98,14,1,4.26,9.16,9.65,8.46,8.37
,1990,DOM,"Dominican Republic",4.19,103,4,7.01,3.97,2.24,2.04,5.69
,1990,DZA,Algeria,3.57,109,4,4.15,3.48,4.35,1.97,3.91
,1990,ECU,Ecuador,5.74,55,2,8.19,5.04,5.78,5.07,4.64
,1990,EGY,"Egypt, Arab Rep.",4.28,101,4,4.53,3.26,7.81,1.04,4.74
,1990,ESP,Spain,6.93,26,1,5.52,7.37,6.36,7.97,7.43
,1990,EST,Estonia,5.05,82,3,4.84,6.77,4.48,3.26,5.90
,1990,ETH,Ethiopia,,,,1.44,2.96,,,
,1990,FIN,Finland,7.78,16,1,5.35,9.04,9.27,7.50,7.72
,1990,FJI,Fiji,5.68,59,2,5.02,5.84,6.42,5.59,5.54
,1990,FRA,France,7.45,20,1,5.13,7.50,9.69,7.78,7.13
,1990,GAB,Gabon,5.55,66,3,6.32,3.78,5.42,6.03,6.23
,1990,GBR,"United Kingdom",8.49,5,1,6.52,8.81,8.48,9.47,9.16
,1990,GEO,Georgia,,,,,3.32,,,1.34
,1990,GHA,Ghana,4.52,97,4,5.10,3.93,4.52,4.33,4.70
,1990,GIN,Guinea,,,,4.41,2.82,,,5.51
,1990,GMB,"Gambia, The",,,,6.30,6.66,,,8.47
,1990,GNB,Guinea-Bissau,3.13,113,4,4.91,2.68,0.88,,4.03
,1990,GRC,Greece,6.43,36,2,5.97,6.51,6.89,6.55,6.23
,1990,GTM,Guatemala,6.19,42,2,8.56,3.48,6.94,6.23,5.74
,1990,GUY,Guyana,4.30,100,4,4.36,6.30,2.32,,4.21
,1990,HKG,"Hong Kong SAR, China",9.18,1,1,9.21,8.07,9.24,9.97,9.40
,1990,HND,Honduras,5.80,52,2,6.39,3.45,8.49,5.33,5.32
,1990,HRV,Croatia,,,,,4.59,2.50,,
,1990,HTI,Haiti,5.08,80,3,8.25,3.18,8.35,2.26,3.37
,1990,HUN,Hungary,5.52,67,3,4.47,7.05,5.91,3.90,6.29
,1990,IDN,Indonesia,5.93,46,2,7.37,2.92,8.28,6.96,4.09
,1990,IND,India,4.96,85,3,5.24,4.93,6.59,2.94,5.09
,1990,IRL,Ireland,7.34,21,1,5.53,8.72,6.80,7.42,8.23
,1990,IRN,"Iran, Islamic Rep.",4.77,90,4,5.39,3.05,9.39,2.05,3.98
,1990,IRQ,Iraq,,,,,2.10,,,
,1990,ISL,Iceland,7.06,24,1,6.32,8.65,7.00,6.56,6.79
,1990,ISR,Israel,5.71,56,2,5.19,5.98,4.35,6.81,6.22
,1990,ITA,Italy,7.10,23,1,4.89,7.42,9.28,7.79,6.10
,1990,JAM,Jamaica,6.31,39,2,7.33,6.84,4.78,4.34,8.27
,1990,JOR,Jordan,5.08,80,3,5.44,3.41,6.14,4.75,5.64
