,Year,ISO_Code,Countries,"Economic Freedom Summary Index",Rank,Quartile,"Size of Government","Legal System & Property Rights -- With Gender Adjustment","Sound Money","Freedom to trade internationally",Regulation
,1990,JPN,Japan,8.29,9,1,6.25,8.27,9.64,9.08,8.19
,1990,KAZ,Kazakhstan,,,,,4.43,,,6.52
,1990,KEN,Kenya,5.17,79,3,4.92,3.91,6.62,4.15,6.27
,1990,KGZ,"Kyrgyz Republic",,,,,4.66,,,3.57
,1990,KHM,Cambodia,,,,,3.27,,,4.03
,1990,KOR,"Korea, Rep.",6.86,30,2,7.02,6.07,6.45,7.28,7.49
,1990,KWT,Kuwait,5.78,54,2,4.65,3.96,6.29,8.40,5.58
,1990,LAO,"Lao PDR",,,,,3.27,,,
,1990,LBN,Lebanon,,,,9.10,2.63,,,
,1990,LBR,Liberia,,,,,2.70,,,
,1990,LBY,Libya,,,,,2.53,,,
,1990,LKA,"Sri Lanka",5.62,63,3,7.92,5.29,5.59,2.98,6.33
,1990,LSO,Lesotho,,,,3.45,3.91,,,6.11
,1990,LTU,Lithuania,5.63,62,3,4.22,6.65,7.49,,4.17
,1990,LUX,Luxembourg,8.09,11,1,4.64,8.57,9.53,9.51,8.20
,1990,LVA,Latvia,5.95,45,2,5.43,6.35,6.43,,5.59
,1990,MAR,Morocco,5.21,75,3,6.14,3.52,6.61,4.67,5.10
,1990,MDA,Moldova,,,,,4.61,,,5.12
,1990,MDG,Madagascar,4.47,98,4,5.56,3.37,5.77,3.72,3.96
,1990,MEX,Mexico,5.92,48,2,7.70,6.22,3.65,7.21,4.84
,1990,MKD,"North Macedonia",,,,,6.22,,,
,1990,MLI,Mali,5.88,49,2,8.62,2.93,7.15,5.75,4.98
,1990,MLT,Malta,6.08,43,2,4.58,5.71,7.27,6.05,6.78
,1990,MMR,Myanmar,2.35,117,4,,2.49,4.28,0.28,2.36
,1990,MNE,Montenegro,,,,,,,,
,1990,MNG,Mongolia,,,,0.91,5.71,,,7.13
,1990,MOZ,Mozambique,,,,7.61,4.04,,,4.84
,1990,MRT,Mauritania,,,,5.90,1.94,,,
,1990,MUS,Mauritius,6.51,35,2,6.80,6.62,6.19,4.46,8.51
,1990,MWI,Malawi,5.05,82,3,5.27,4.94,5.71,5.20,4.12
,1990,MYS,Malaysia,6.93,26,1,6.14,5.36,8.80,8.09,6.26
,1990,NAM,Namibia,5.56,65,3,5.19,3.99,5.44,5.85,7.34
,1990,NER,Niger,5.19,77,3,4.18,4.38,7.03,4.92,5.47
,1990,NGA,Nigeria,4.08,106,4,5.09,3.36,4.27,2.96,4.71
,1990,NIC,Nicaragua,3.29,111,4,4.06,3.79,0.00,4.97,3.63
,1990,NLD,Netherlands,8.06,12,1,4.98,8.94,9.64,9.15,7.61
,1990,NOR,Norway,7.82,15,1,4.50,9.21,9.28,8.24,7.89
,1990,NPL,Nepal,4.91,87,3,4.27,3.87,6.20,4.15,6.05
,1990,NZL,"New Zealand",8.25,10,1,6.33,9.14,8.19,8.85,8.75
,1990,OMN,Oman,6.58,33,2,4.78,3.78,7.75,8.44,8.13
,1990,PAK,Pakistan,4.68,92,4,4.94,2.85,8.04,3.01,4.55
,1990,PAN,Panama,7.23,22,1,6.45,4.80,9.77,8.13,6.99
,1990,PER,Peru,3.92,107,4,7.05,3.92,1.25,3.73,3.64
,1990,PHL,Philippines,5.83,51,2,7.81,3.36,5.74,5.37,6.86
,1990,PNG,"Papua New Guinea",6.22,41,2,6.36,6.27,6.80,5.87,5.81
,1990,POL,Poland,4.55,95,4,4.07,6.22,3.33,4.97,4.14
,1990,PRT,Portugal,6.75,32,2,6.34,7.47,6.40,7.41,6.15
,1990,PRY,Paraguay,5.67,60,3,9.01,3.29,6.27,4.88,4.89
,1990,QAT,Qatar,,,,,4.35,,,5.29
,1990,ROU,Romania,4.54,96,4,4.09,4.89,7.06,3.24,3.43
,1990,RUS,"Russian Federation",3.40,110,4,1.53,4.39,5.25,,2.43
,1990,RWA,Rwanda,4.84,88,3,6.31,4.45,6.05,1.92,5.48
,1990,SAU,"Saudi Arabia",,,,5.13,4.07,,,5.99
,1990,SDN,Sudan,,,,7.04,1.64,,,5.80
,1990,SEN,Senegal,5.42,70,3,5.86,4.21,7.08,4.62,5.34
,1990,SGP,Singapore,8.53,4,1,7.46,7.96,9.05,9.90,8.28
,1990,SLE,"Sierra Leone",3.08,114,4,6.85,2.78,0.04,3.15,2.57
,1990,SLV,"El Salvador",5.21,75,3,7.43,3.31,5.56,4.24,5.52
,1990,SOM,Somalia,,,,,,,,
,1990,SRB,Serbia,,,,,4.75,,,
,1990,SUR,Suriname,,,,,5.31,,,
,1990,SVK,"Slovak Republic",,,,,6.46,8.81,,
,1990,SVN,Slovenia,,,,4.01,7.09,,,9.09
,1990,SWE,Sweden,7.58,18,1,4.02,8.97,8.03,9.15,7.74
,1990,SWZ,Eswatini,,,,4.86,3.48,,,6.40
,1990,SYC,Seychelles,,,,2.62,4.99,,,6.64
,1990,SYR,"Syrian Arab Republic",3.20,112,4,3.51,2.48,5.49,1.55,2.98
,1990,TCD,Chad,5.45,68,3,8.78,3.48,5.68,5.81,3.50
,1990,TGO,Togo,5.60,64,3,6.35,3.06,7.09,4.63,6.90
,1990,THA,Thailand,6.42,37,2,7.61,4.85,7.79,5.43,6.41
,1990,TJK,Tajikistan,,,,0.38,3.62,,,
,1990,TLS,Timor-Leste,,,,,3.37,,,
,1990,TTO,"Trinidad and Tobago",5.88,49,2,6.76,6.75,5.99,2.98,6.94
,1990,TUN,Tunisia,5.26,74,3,5.89,3.47,6.68,4.98,5.27
,1990,TUR,Türkiye,5.19,77,3,6.43,4.92,3.73,5.40,5.47
,1990,TWN,Taiwan,6.88,29,1,5.33,5.58,9.42,7.78,6.29
,1990,TZA,Tanzania,4.32,99,4,4.61,5.88,4.78,1.79,4.57
,1990,UGA,Uganda,3.08,114,4,4.39,2.61,0.37,2.07,5.94
,1990,UKR,Ukraine,,,,,4.00,,,6.77
,1990,URY,Uruguay,6.86,30,2,7.65,7.03,3.76,8.17,7.67
,1990,USA,"United States",8.74,3,1,7.20,8.60,9.67,9.08,9.18
,1990,VEN,"Venezuela, RB",5.71,56,2,7.54,5.33,4.09,6.27,5.32
,1990,VNM,Vietnam,,,,,3.82,,,5.15
,1990,YEM,"Yemen, Rep.",,,,2.82,2.65,,,
,1990,ZAF,"South Africa",5.80,52,2,6.59,4.34,5.87,5.89,6.29
,1990,ZMB,Zambia,3.63,108,4,5.11,4.51,0.45,2.56,5.52
,1990,ZWE,Zimbabwe,5.41,71,3,5.61,5.16,6.09,4.57,5.63
